full_name,a,e,i,om,w,q,ad,per_y,data_arc,n_obs_used,H,first_obs,epoch
       (2011 OR5),1.396,0.2798,4.77,307.94,314.35,1.005,1.79,1.65,37,19,25.9,2011-07-26,2460200.5
       (2011 OJ10),2.143,0.3976,6.23,321.45,351.54,1.291,3,3.14,1094,47,22.2,2011-07-27,2460200.5
       (2011 OR15),1.656,0.4431,5.01,146.09,251.09,0.922,2.39,2.13,942,77,21,2011-07-26,2460200.5
       (2011 OS15),1.741,0.335,5.38,111.92,171.67,1.158,2.32,2.3,5,16,24.2,2011-07-27,2455772.5
       (2011 OE16),2.229,0.4734,6.77,123.36,202.11,1.174,3.28,3.33,3721,37,23.4,2011-07-27,2460200.5
       (2011 OV17),2.111,0.4119,6.18,137.95,183.98,1.241,2.98,3.07,32,24,23.3,2011-07-28,2460200.5
       (2011 OW17),2.624,0.5197,28.07,137.29,121.08,1.26,3.99,4.25,32,14,21.3,2011-07-28,2460200.5
       (2011 OX17),2.205,0.751,6.86,347.35,213.08,0.549,3.86,3.27,3452,43,20.4,2011-07-29,2460200.5
       (2011 OY17),2.441,0.564,9.26,156.52,189.98,1.064,3.82,3.81,90,134,21.9,2011-07-27,2460200.5
       (2011 OC18),2.111,0.4374,6.9,149.85,180.23,1.188,3.03,3.07,2129,158,20.9,2011-07-29,2460200.5
       (2011 OD18),2.06,0.5275,4.31,304.41,332.27,0.973,3.15,2.96,8,30,26.5,2011-07-31,2455776.5
       (2011 OV18),1.631,0.4391,16.93,271.3,148.97,0.915,2.35,2.08,3468,56,19.7,2010-01-08,2460200.5
       (2011 ON24),1.244,0.1753,13.99,121.87,279.89,1.026,1.46,1.39,1395,26,23,2011-07-27,2460200.5
       (2011 OB26),1.658,0.478,1.76,138.74,234.8,0.865,2.45,2.14,13,32,25.5,2011-07-25,2455772.5
       (2011 OE26),3.001,0.719,10.29,311.25,275.88,0.843,5.16,5.2,24,14,23,2011-07-26,2460200.5
       (2011 OF26),2.118,0.7255,6.05,303.65,103.08,0.581,3.65,3.08,10,17,24.8,2011-07-28,2455772.5
       (2011 OJ45),1.017,0.2036,0.75,288.89,135.54,0.81,1.22,1.03,17,21,26,2011-07-28,2460200.5
       (2011 OK45),1.291,0.2143,2.87,300.07,327.57,1.014,1.57,1.47,6,10,27.6,2011-07-28,2455771.5
